скромный                 '-          14ОA
укромный                 -'-         14ОA
огромный                 -'-         14ОA
общий                    '-          15ОA
ропщет                   '-          15ОVН
рвет и топчет            '-'-        15ОVН
достойный                -'-         16ОA
разбойный                -'-         16ОA
беспокойный              --'-        16ОA
стройный                 '-          16ОA
знойный                  '-          16ОA
спокойно                 -'-         16О?
тонкий                   '-          17ОA
звонкий                  '-          17ОA
вдогонку                 -'-         17О?
желтый                   '-          18ОA
новый                    '-          19ОA
бордовый                 -'-         19ОA
бедовый                  -'-         19ОA
суровый                  -'-         19ОA
готовый                  -'-         19ОA
лиловый                  -'-         19ОA
московский               -'-        110ОA
псковский                '-         110ОA
то есть                  '-         111О
поезд                    '-         111ОN
успокоясь                --'-       111О?V
награды удостоясь        -'---'-    111О?V
модный                   '-         112ОA
холодный                 -'-        112ОA
голодный                 -'-        112ОA
негодный                 -'-        112ОA
всепогодный              --'-       112ОA
однородный               --'-       112ОA
бесплодный               -'-        112ОA
безбожный                -'-        113ОA
тревожно                 -'-        113О?
осторожный               --'-       113ОA
веселый                  -'-        115ОA
поселок                  -'-        115ОN
добрый                   '-         117ОA
розовый                  '--         21ОA
удвоился                 -'--        24ОVП
успокоился               --'--       24ОVП
удостоился               --'--       24ОVП
расстроился              -'--        24ОVП
перестроился             --'--       24ОVП
стук                     '           01УN
звук                     '           01УN
вдруг                    '           01У?
полон мук                --'         01УA
рвясь из рук             --'         01У?V
ум                       '           02УN
шум                      '           02УN
наобум                   --'         02У?
полон дум                --'         02УA
чуждый                   '-          12УA
крупный                  '-          13УA
юный                     '-          14УA
лунный                   '-          14УA
струнный                 '-          14УA
чугунный                 -'-         14УA
послушный                -'-         15УA
тщедушный                -'-         15УA
утренний                 '--         21УA
к заутрене               -'--        21У?
искусственный            -'--        22УA
бесчувственный           -'--        22УA
перламутровый            --'--       23УA
волнующий                -'--        24УAV
бушующий                 -'--        24УAV
чарующий                 -'--        24УAV
негодующий               --'--       24УAV
в ус не дующий           '-'--       24УAV
бесстыдный               -'-         11ЫA
завидный                 -'-         11ЫA
обидный                  -'-         11ЫA
ехидный                  -'-         11ЫA
колышется                -'--        21ЫVН
послышался               -'--        21ЫVП
не                       -           01-
и                        -           02-
но                       -           03-
отчетливо                -'-         00W?
отчет                    -'          01WN
отчизна                  -'-         02WN
отчим                    '-          03WN
отчисление               --'--       04WN
отчитать                 --'         04АVН
отшатнуться              --'-        05WVН
отшвыpивать              -'--        04АVН
отшельник                -'-         15ИN
отщепенец                --'-        06WN
отъезд                   -'          07WN
отъехать                 -'-         04АVН
отъехал                  -'-         08WVП
